ch_sim,slug
保障·锡斯特双枪,secura_dual_cestra
匍匐靶心,creeping_bullseye
异融 alad v 刺杀 （钥匙）,mutalist_alad_v_assassinate_key
辐射缴械,irradiating_disarm
反物质吸收,antimatter_absorb
赋能·壁垒,arcane_barrier
赋能·冰冷,arcane_ice
终极·螺钉步枪,telos_boltor
frost prime 一套,frost_prime_set
触媒连动,catalyzer_link
定位辅助,targeting_subsystem
斯特朗·亡魂 枪机,strun_wraith_receiver
构造裂缝,tectonic_fracture
mantis 一套,mantis_set
酸性弹药,acid_shells
夜巡燃烧弹,nightwatch_napalm
类星钻体,quasar_drill
彗星爆发,comet_blast
星云钻孔,nebula_bore
死亡使徒 刀刃,kaszas_blade
极速电磁步枪 枪机,velocitus_receiver
巨浪 枪管,fluctus_barrel
巨浪 弓臂,fluctus_limbs
巨浪 枪托,fluctus_stock
什长双枪 枪管,decurion_barrel
hydroid prime 一套,hydroid_prime_set
净化奥罗金,cleanse_corrupted
kappa 信标,kappa_beacon
星形绯红石,star_crimzian
正直·打击,virtuos_strike
猎人 肾上腺素,hunter_adrenaline
蝰蛇·亡魂,viper_wraith
奥罗金荒废广场场景,orokin_derelict_plaza_scene
grineer 造船厂场景,grineer_shipyards_manufactory_scene
感染舰桥场景,infested_ship_bridge_scene
月球苗圃场景,lua_nursery_scene
corpus 集气城市管道场景,corpus_gas_city_conduit_scene
grineer 驻扎地反应炉场景,grineer_settlement_reactor_scene
corpus 冰封星球残骸场景,corpus_ice_planet_wreckage_scene
夜灵 madurai 晶体,eidolon_madurai_lens
夜灵 vazarin 晶体,eidolon_vazarin_lens
夜灵 unairu 晶体,eidolon_unairu_lens
zephyr prime 机体 蓝图,zephyr_prime_chassis_blueprint
mycona 殖民地场景,mycona_colony_scene
和平·高飞,pax_soar
救赎者 prime 刀刃,redeemer_prime_blade
觉醒双枪 prime 枪机,akjagara_prime_receiver
组合枪裂罅 mod （尚未揭开）,kitgun_riven_mod_(veiled)
光谱虹吸,spectrosiphon
恶狼战锤锤头,wolf_sledge_head
恶狼战锤 一套,wolf_sledge_set
奥布山谷场景,orb_vallis_scene
诸葛连弩 prime 弓身,zhuge_prime_grip
寒冰之力,freeze_force
旋风虎击,swirling_tiger
随机应变,quick_thinking
蛟龙 prime 蓝图,wyrm_prime_blueprint
簧压刀刃,spring_loaded_blade
动力转移,kinetic_diversion
奋力一掷,power_throw
宿命真理,fateful_truth
致命火力,malignant_force
卓越防御,superior_defenses
能量转化,energy_inversion
破碎正义,shattering_justice
爆发装填,fast_hands
极地弹仓,polar_magazine
步枪增幅,rifle_amp
残余,spare_parts
有去无回,no_return
汽化,vaporize
恶性扩散,vicious_spread
敌人感应,enemy_sense
盲怒,blind_rage
步枪弹药转换,rifle_ammo_mutation
凯旋将军·破坏者 枪管,imperator_vandal_barrel
欧特鲁斯 prime 刀刃,orthos_prime_blade
loki prime 系统 蓝图,loki_prime_systems_blueprint
naramon 晶体,naramon_lens
协力窜升,coaction_drift
通晓霰弹枪,shotgun_savvy
爆裂刀刃,volcanic_edge
陨蜓 prime 外甲 蓝图,odonata_prime_harness_blueprint
回气再起,secondary_wind
陨蜓 prime 系统 蓝图,odonata_prime_systems_blueprint
致命一击,point_strike
上升打击,soaring_strike
强力猛击,pummel
极速电磁步枪 枪托,velocitus_stock
拉斯波恩 握柄,rathbone_handle
拉斯波恩 锤头,rathbone_head
拉特昂·亡魂 枪管,latron_wraith_barrel
火焰装填,heated_charge
系统重划,system_reroute
蛇发女妖·亡魂 枪机,gorgon_wraith_receiver
精算射击,calculated_shot
活力,vigor
飞扬 prime 镖袋,hikou_prime_pouch
收割者 prime 蓝图,reaper_prime_blueprint
震击 秘奥头盔,arcane_thrak_helmet
抵近射击 prime,primed_point_blank
三幂之力,power_of_three
rhino prime 头部神经光元 蓝图,rhino_prime_neuroptics_blueprint
缴械纯净,disarming_purity
蛇发女妖·亡魂 枪托,gorgon_wraith_stock
布里斯提卡 prime 弓弦,ballistica_prime_string
双蛇牙突,crossing_snakes
返老还童,rejuvenation
挖掘,dig
粉碎器,shredder
无尽苦难,continuous_misery
瓦斯托 prime 一套,vasto_prime_set
阿瓦隆 秘奥头盔,arcane_avalon_helmet
铝热焊弹,thermite_rounds
通量 秘奥头盔,arcane_flux_helmet
终极·螺钉双枪,telos_akbolto
预言 秘奥头盔,arcane_aura_helmet
圣洁·雷爆信镖,sancti_castanas
裂缝打击,rift_strike
火神闪击,vulcan_blitz
策略 秘奥头盔,arcane_gambit_helmet
氯毒 秘奥头盔,arcane_chlora_helmet
机敏 秘奥头盔,arcane_esprit_helmet
赋能·诡计,arcane_trickery
oberon prime 头部神经光元 蓝图,oberon_prime_neuroptics_blueprint
volt prime 头部神经光元 蓝图,volt_prime_neuroptics_blueprint
凤凰 秘奥头盔,arcane_phoenix_helmet
布里斯提卡 prime 下弓臂,ballistica_prime_lower_limb
volt prime 机体 蓝图,volt_prime_chassis_blueprint
女侯爵翠萤石,marquise_veridos
返响 秘奥头盔,arcane_reverb_helmet
爆炸戏法,explosive_legerdemain
毁灭奥罗金,smite_corrupted
铁杉 秘奥头盔,arcane_hemlock_helmet
汲能榨取,vampire_leech
诸葛连弩 prime 蓝图,zhuge_prime_blueprint
降灵追猎者 prime 链条,ninkondi_prime_chain
诸葛连弩 prime 枪机,zhuge_prime_receiver
诸葛连弩 prime 一套,zhuge_prime_set
wukong prime 头部神经光元 蓝图,wukong_prime_neuroptics_blueprint
毁灭扩展,ruinous_extension
野蛮压制,savagery
手枪精通,pistol_gambit
毁坏微光,gleaming_blight
ember prime 头部神经光元 蓝图,ember_prime_neuroptics_blueprint
恒久折磨,lingering_torment
重锤射击,hammer_shot
霰弹枪弹药转换 prime,primed_shotgun_ammo_mutation
赋能·迅速,arcane_velocity
nyx prime 蓝图,nyx_prime_blueprint
德拉·破坏者 枪托,dera_vandal_stock
卡拉克·亡魂 蓝图,karak_wraith_blueprint
nyx prime 系统 蓝图,nyx_prime_systems_blueprint
摆荡钩索,swing_line
双短柄战镰 prime 一套,dual_kamas_prime_set
精准爆发,measured_burst
护卫传送,safeguard_switch
棱晶 阴影,prisma_shade
集气城市大厅场景,gas_city_lobby_scene
过度延展,overextended
保护,protect
全蚀,total_eclipse
脉冲 秘奥头盔,arcane_pulse_helmet
私法 追踪,vigilante_pursuit
净化斩,purging_slash
mag 高斯 秘奥头盔,arcane_mag_gauss_helmet
远古融合核心,ancient_fusion_core
弗拉克斯·亡魂 右拳套,furax_wraith_right_gauntlet
螺钻打击,auger_strike
nyx prime 头部神经光元 蓝图,nyx_prime_neuroptics_blueprint
rhino prime 蓝图,rhino_prime_blueprint
稳定枪手,steady_hands
猛虎 prime 枪机,tigris_prime_receiver
能量转换,energy_conversion
赋能·抗毒,arcane_resistance
致命洪流,lethal_torrent
战争之剑 刀片,war_blade
弱点侦测,detect_vulnerability
元素沙暴,elemental_sandstorm
钢铁纤维,steel_fiber
扩充弹匣,magazine_extension
内置炸药,concealed_explosives
破灭 prime,primed_ravage
耗竭装填,depleted_reload
赫利俄斯 prime 外壳,helios_prime_carapace
蛟龙 prime 系统,wyrm_prime_systems
trinity prime 头部神经光元 蓝图,trinity_prime_neuroptics_blueprint
精神狂怒,mind_freak
狼牙 prime 握柄,fang_prime_handle
简化,streamline
隔热,insulation
增压弹匣,pressurized_magazine
伏击光子,ambush_optics
nyx prime 机体 蓝图,nyx_prime_chassis_blueprint
电容,capacitance
压缩弹药,shell_compression
loki prime 机体 蓝图,loki_prime_chassis_blueprint
枪膛,bore
信号闪光,signal_flare
电光冲刺,lightning_dash
mag prime 机体 蓝图,mag_prime_chassis_blueprint
狙击特昂·破坏者 一套,snipetron_vandal_set
机动冲撞,battering_maneuver
穿刺步伐,piercing_step
狂热火球,fireball_frenzy
永恒纯净,lasting_purity
能量虹吸,energy_siphon
隐密追踪,stalk
弹匣增幅,magazine_warp
渗透,infiltrate
毒蛇螺旋,coiling_viper
压迫点 prime,primed_pressure_point
寒流来袭,cold_snap
地狱弹膛,hells_chamber
积存毁坏,stockpiled_blight
海波斯库拉对剑 prime 握柄,nami_skyla_prime_handle
破碎之风,fracturing_wind
猛烈爆发,fulmination
弹鼓,ammo_drum
至尊浪人,sovereign_outcast
角斗士 威猛,gladiator_might
震地冲击,heavy_impact
雷火,thunderbolt
生命之池,pool_of_life
熵数爆发,entropy_burst
致命诱惑,fatal_attraction
震撼冲拳,seismic_palm
压迫点,pressure_point
弹药改良,modified_munitions
天赋,natural_talent
箭型弹头,flechette
飞光荒疫,shimmering_blight
正义刀锋,justice_blades
败兴虐杀,buzz_kill
食人鱼 prime 蓝图,pyrana_prime_blueprint
食人鱼 prime 枪机,pyrana_prime_receiver
食人鱼 prime 枪管,pyrana_prime_barrel
技巧之剑 prime 一套,destreza_prime_set
驱逐 grineer prime,primed_expel_grineer
驱逐 corpus prime,primed_expel_corpus
驱逐 infested prime,primed_expel_infested
驱逐奥罗金 prime,primed_expel_corrupted
震动之拳,quaking_hand
火焰腺体,flame_gland
分裂之刃,dividing_blades
光滑翡斯敏石,smooth_phasmin
赋能·生机,arcane_pulse
骤然正义,sudden_justice
急进猛突,blood_rush
破片射击,shrapnel_shot
冷却液外泄,coolant_leak
火绫复苏,ward_recovery
火焰装填 prime,primed_heated_charge
中子星爆,neutron_star
头颅射击,skull_shots
loki prime 头部神经光元 蓝图,loki_prime_neuroptics_blueprint
私法 热诚,vigilante_fervor
甲龙双拳 prime 刀刃,ankyros_prime_blade
甲龙双拳 prime 拳套,ankyros_prime_gauntlet
玻之武杖 prime 蓝图,bo_prime_blueprint
席瓦 & 神盾 prime 护手,silva_and_aegis_prime_guard
蚀骨寒霜,vicious_frost
锯刃,jagged_edge
护盾瓦解,shield_disruption
魔导·活力,magus_vigor
霰弹弹幕,shotgun_barrage
诈欺 秘奥头盔,arcane_swindle_helmet
角斗士 钳制,gladiator_vice
经络 秘奥头盔,arcane_meridian_helmet
传说核心,legendary_fusion_core
猛虎 prime 枪托,tigris_prime_stock
旋压刺针,spinning_needle
狙击特昂·破坏者 枪托,snipetron_vandal_stock
野火,wildfire
灭亡 grineer,bane_of_grineer
scimitar 飞航系统 蓝图,scimitar_avionics_blueprint
反射防御,reflex_guard
永恒之护,everlasting_ward
ash prime 头部神经光元 蓝图,ash_prime_neuroptics_blueprint
电流震击,jolt
守望者 prime 枪托,vectis_prime_stock
慑人神速,stunning_speed
持久力 prime,primed_continuity
玻之武杖 prime 握柄,bo_prime_handle
连续冲击,crash_course
再生分流,vital_systems_bypass
奇异点,singularity
杂技装甲,armored_acrobatics
致命动量,lethal_momentum
灭亡 infested prime,primed_bane_of_infested
灭亡 corpus prime,primed_bane_of_corpus
搬运者 prime 蓝图,carrier_prime_blueprint
狡狐诈面,vulpine_mask
灭亡 grineer prime,primed_bane_of_grineer
守望者 prime 枪管,vectis_prime_barrel
战术上膛,tactical_pump
灭神 秘奥头盔,arcane_menticide_helmet
极光 秘奥头盔,arcane_aurora_helmet
月神 prime 蓝图,soma_prime_blueprint
释放,unleashed
瓦斯托 prime 枪管,vasto_prime_barrel
合音 秘奥头盔,arcane_chorus_helmet
瓦斯托 prime 蓝图,vasto_prime_blueprint
飞逝熵数,entropy_flight
saryn prime 一套,saryn_prime_set
纵腾天际,poppin_vert
魔导·修复,magus_repair
魔导·干扰,magus_glitch
完美平衡,perfect_balance
菌株 吸收,strain_consume
zaw 裂罅 mod （尚未揭开）,zaw_riven_mod_(veiled)
恶狼战锤 蓝图,wolf_sledge_blueprint
魔导·超载,magus_overload
分子裂变,molecular_fission
恶狼战锤马达,wolf_sledge_motor
猛烈发狂,wild_frenzy
凝固汽油榴弹,napalm_grenades
提佩多 prime 握柄,tipedo_prime_handle
斯特拉迪瓦 prime 一套,stradavar_prime_set
equinox prime 蓝图,equinox_prime_blueprint
野马 prime 枪管,bronco_prime_barrel
战争之剑 握柄,war_hilt
nova prime 系统 蓝图,nova_prime_systems_blueprint
frost prime 蓝图,frost_prime_blueprint
野马 prime 蓝图,bronco_prime_blueprint
星界微光,astral_twilight
速射,snap_shot
伯斯顿 prime 枪机,burston_prime_receiver
狼牙 prime 刀刃,fang_prime_blade
vauban prime 头部神经光元 蓝图,vauban_prime_neuroptics_blueprint
飞扬 prime 星镖,hikou_prime_stars
入侵者,intruder
棱晶·安格斯壮,prisma_angstrum
菲德菈 枪托,phaedra_stock
灼痕焦点,scorch
熵数尖钉,entropy_spike
终焉风暴,eleventh_storm
nova prime 头部神经光元 蓝图,nova_prime_neuroptics_blueprint
反物质地雷,antimatter_mine
nova prime 机体 蓝图,nova_prime_chassis_blueprint
棱镜护卫,prism_guard
戏法增幅,trick_mag
nova prime 蓝图,nova_prime_blueprint
虚伪连结,deceptive_bond
frost prime 头部神经光元 蓝图,frost_prime_neuroptics_blueprint
飑风 秘奥头盔,arcane_squall_helmet
精算蓄能,calculated_redirection
充电弹头,charged_shell
净化 corpus,cleanse_corpus
炽燃钢铁,searing_steel
加速充能,accelerated_deflection
巨林冲击,clashing_forest
原始暴怒,primal_rage
天圣践踏,celestial_stomp
保障·潘塔,secura_penta
剃刀射击,razor_shot
缓动惊骇,creeping_terrify
trinity prime 蓝图,trinity_prime_blueprint
冷面狂怒,grim_fury
阿耶檀识 orta 塑像,ayatan_orta_sculpture
能量导引,energy_channel
神圣清算,hallowed_reckoning
痉挛,convulsion
赋能·狂怒,arcane_fury
极速复元,rapid_resilience
瘟疫手枪,pistol_pestilence
非晶变压器 prime,primed_morphic_transformer
虚弱动能,frail_momentum
病原弹头,pathogen_rounds
赋能·神盾,arcane_aegis
瞬间冲击,sudden_impact
赋能·结果,arcane_consequence
强化刀片,tempered_blade
毁灭 corpus,smite_corpus
赋能·充沛,arcane_energize
尖牙连射,fanged_fusillade
角斗士 决心,gladiator_resolve
幽灵,ghost
白霜弹头,rime_rounds
金工火神·亡魂,vulkar_wraith
阿耶檀识 piv 塑像,ayatan_piv_sculpture
不绝护甲,negation_swarm
雷筒,blunderbuss
席芭莉丝 prime 枪管,sybaris_prime_barrel
半人马 盾,centaur_aegis
中枢苏达强化mod,cephalon_suda_augment_mod
banshee prime 机体 蓝图,banshee_prime_chassis_blueprint
急冻控场,chilling_grasp
wukong prime 机体 蓝图,wukong_prime_chassis_blueprint
炽烈坚刃,blazing_steel
过热射击,fired_up
云暴山碎,shattering_storm
恐惧感知,sense_danger
刀锋弹舞,bullet_dance
双子蝰蛇·亡魂 蓝图,twin_vipers_wraith_blueprint
分裂膛室,split_chamber
北风,north_wind
霰弹枪弹药搜集者,shotgun_scavenger
枢议·咖玛腕甲枪,synoid_gammacor
赫利俄斯 prime 一套,helios_prime_set
绯红·布里斯提卡,rakta_ballistica
hydroid prime 头部神经光元 蓝图,hydroid_prime_neuroptics_blueprint
贪婪吸引,greedy_pull
席瓦 & 神盾 prime 一套,silva_and_aegis_prime_set
守护光罩,sanctuary
系绳榴弹,tether_grenades
飞行员,aviator
猎鹰俯击,swooping_falcon
百折不挠,constitution
惩击洗礼,smite_infusion
喀婆萨 prime 库狛项圈 一套,kavasa_prime_kubrow_collar_set
拉特昂 prime 一套,latron_prime_set
雷克斯 prime 一套,lex_prime_set
陨蜓 prime 一套,odonata_prime_set
恒稳枪杆,gun_glide
盖霜跳马,rime_vault
战无不克,vanquished_prey
电流长矛,voltaic_lance
灵快节拍,deft_tempo
双重连击,double_tap
搏命反扑,final_act
最终一击,final_tap
液压枪膛,hydraulic_chamber
液压弹药,hydraulic_gauge
松弛枪盖,loose_hatch
狭窄枪膛,narrow_barrel
斯特朗·亡魂 枪管,strun_wraith_barrel
夜灵 zenurik 晶体,eidolon_zenurik_lens
技巧之剑 prime 握柄,destreza_prime_handle
耐久强化,enhanced_durability
切换增幅,holster_amp
赋能·速攻,arcane_strike
凶恶延伸,sinister_reach
守望者 prime 一套,vectis_prime_set
雕斩螳螂,carving_mantis
领袖 prime,primed_pack_leader
赋能·消磁,arcane_nullifier
rhino prime 一套,rhino_prime_set
暗杀者 prime 一套,sicarus_prime_set
精准火枪,grinloked
赋能·胜利,arcane_victory
紧凑步伐,hastened_steps
埋伏射击,lie_in_wait
螺钉步枪 prime 枪机,boltor_prime_receiver
螺钉步枪 prime 枪托,boltor_prime_stock
暗夜追迹者,night_stalker
枢议·赫利俄光锤,synoid_heliocor
鞘翅 系统,elytron_systems_blueprint
钢铁防线强化mod,steel_meridian_augment_mod
暗影收割,shadow_harvest
银白天灾,argent_scourge
猛虎 prime 枪管,tigris_prime_barrel
弹匣置换,eject_magazine
应急备案,plan_b
炙热黄蜂,burning_wasp
尖锐子弹,sharpened_bullets
撕裂弹头,ripper_rounds
月神 prime 枪机,soma_prime_receiver
收割螺旋,reaping_spiral
月神 prime 枪托,soma_prime_stock
锐利刀刃,sharpened_blade
滑行扫射,strafing_slide
scimitar 一套,scimitar_set
残盾转换,surplus_diverters
灾变连连,cataclysmic_continuum
布莱顿 prime 一套,braton_prime_set
残酷打击,relentless_assault
席瓦 & 神盾 prime 握柄,silva_and_aegis_prime_hilt
精准弹跳,calculated_spring
彗星弹头,comet_rounds
hydroid prime 机体 蓝图,hydroid_prime_chassis_blueprint
雷克斯双枪 prime 蓝图,aklex_prime_blueprint
雷克斯双枪 prime 一套,aklex_prime_set
布里斯提卡 prime 蓝图,ballistica_prime_blueprint
秋风落叶,tranquil_cleave
链接生命力,link_vitality
领袖,pack_leader
幸存生灵,soul_survivor
分子转化,molecular_conversion
重击者,thumper
冲刺,rush
污染弹匣,infected_clip
净化 infested,cleanse_infested
烈焰,blaze
吸取,vacuum
能量产生器,energy_generator
深红飓风,scarlet_hurricane
凶途恶径,vicious_approach
冰冻双颚,frost_jaw
电击项圈,shock_collar
收尾痛击,thrash_landing
跃动 冲击,motus_impact
空飞 俯瞰,aero_vantage
跃动 设局,motus_setup
狂风猛踢,gale_kick
跃动 信号,motus_signal
12 号甲板场景,deck_12_scene
降灵追猎者 prime 蓝图,ninkondi_prime_blueprint
诸葛连弩 prime 枪管,zhuge_prime_barrel
降灵追猎者 prime 握柄,ninkondi_prime_handle
降灵追猎者 prime 一套,ninkondi_prime_set
wukong prime 一套,wukong_prime_set
分裂斩斧 prime 握柄,scindo_prime_handle
极恶精准,vile_precision
视差瞄具,parallax_scope
生命力,vitality
狙击枪弹药搜集者,sniper_scavenger
猎杀型库狛 基因印记,sunika_kubrow_imprint
镜像型库娃 基因印记,adarza_kavat_imprint
绝路 prime 枪管,rubico_prime_barrel
暴风使者,stormbringer
赋能·爆发,arcane_eruption
黄蜂 秘奥头盔,arcane_vespa_helmet
脱离速度,escape_velocity
驱逐 infested,expel_infested
集气城市云霄场景,gas_city_cloud_vista_scene
燃烧弹头,combustion_rounds
狙击枪弹药转换,sniper_ammo_mutation
loki prime 蓝图,loki_prime_blueprint
穿透力,seeking_force
弱点专精,target_cracker
弹指瞬技,fleeting_expertise
关键延迟,critical_delay
激怒,provoked
腐坏打击,spoiled_strike
燃烧外壳,incendiary_coat
线圈 秘奥头盔,arcane_coil_helmet
预言 协约,augur_accord
破裂填装,breach_loader
双短柄战镰 prime 蓝图,dual_kamas_prime_blueprint
母神悲歌,gaias_tragedy
拉特昂 prime 枪管,latron_prime_barrel
卡拉克·亡魂 枪管,karak_wraith_barrel
zenurik 晶体,zenurik_lens
矫捷窜升,agility_drift
咬碎,bite
续燃,afterburn
风起云涌,rising_storm
ember prime 一套,ember_prime_set
蓄能重划,redirection
狼牙 prime 一套,fang_prime_set
冰封护罩,chilling_globe
mag prime 一套,mag_prime_set
释能放热,exothermic
nekros prime 头部神经光元 蓝图,nekros_prime_neuroptics_blueprint
鹰眼,eagle_eye
护盾过载,shield_overload
电弧线圈,arc_coil
混乱领域,chaos_sphere
狂化冲动,hysterical_fixation
亵渎清算,defiled_reckoning
溃散射击,crash_shot
弹药储转箱,ammo_case
悦音 prime 一套,euphona_prime_set
真相之刃,blade_of_truth
聚焦能量,focus_energy
隼目,hawk_eye
野猪 prime 蓝图,boar_prime_blueprint
oberon prime 一套,oberon_prime_set
半人马 剑刃,centaur_blade
扫荡锯齿,sweeping_serration
驯象钩刃 刀刃,agkuza_blade
链接蓄能,link_redirection
狂鲨 prime 蓝图,tiberon_prime_blueprint
棱晶·斩肉双刀,prisma_dual_cleavers
定向汇聚,directed_convergence
saryn prime 蓝图,saryn_prime_blueprint
重创 prime,primed_heavy_trauma
赋能·觉醒,arcane_awakening
gamma 信标,gamma_beacon
赋能·通牒,arcane_ultimatum
德拉·破坏者 蓝图,dera_vandal_blueprint
棱晶·奥比克斯,prisma_obex
玻之武杖 prime 一套,bo_prime_set
野猪 prime 一套,boar_prime_set
布里斯提卡 prime 枪机,ballistica_prime_receiver
螺钉步枪 prime 一套,boltor_prime_set
斯特朗·亡魂 枪托,strun_wraith_stock
斯特朗·亡魂 一套,strun_wraith_set
科加基 prime 一套,kogake_prime_set
科加基 prime 拳套,kogake_prime_gauntlet
zephyr prime 蓝图,zephyr_prime_blueprint
拉托·破坏者 一套,lato_vandal_set
拉托·破坏者 蓝图,lato_vandal_blueprint
拉托·破坏者 枪管,lato_vandal_barrel
布莱顿·破坏者 一套,braton_vandal_set
grineer 驻扎地火炮场景,grineer_settlement_artillery_scene
赤毒要塞裂缝场景,kuva_fortress_crevice_scene
grineer 海底实验室离心机场景,grineer_sealab_centrifuge_scene
月球楼厅场景,lua_balcony_scene
再启动,reawaken
valkyr prime 头部神经光元 蓝图,valkyr_prime_neuroptics_blueprint
半人马 握柄,centaur_handle
预言 启示,augur_message
真实惩罚,true_punishment
熵数起爆,entropy_detonation
撕裂鹤击,rending_crane
空中侦察,air_recon
凯旋之爪 prime 蓝图,venka_prime_blueprint
悦音 prime 蓝图,euphona_prime_blueprint
奥努里克斯 握柄,onorix_handle
抵近射击,point_blank
充能反弹,reflection
螫刺狂棘,stinging_thorn
霰弹枪增幅,shotgun_amp
魔导·近点,magus_anomaly
双短柄战镰 prime 握柄,dual_kamas_prime_handle
正直·突波,virtuos_surge
标记目标,marked_target
强化刀锋,empowered_blades
喀婆萨 prime 项圈扣,kavasa_prime_buckle
菌株 爆裂,strain_eruption
团结一致,stand_united
喀婆萨 prime 项圈带,kavasa_prime_band
赤毒王座场景,kuva_throne_scene
圣殿通道场景,sanctuary_conduit_scene
牙齿毒液,venom_teeth
崛起之刃,rising_steel
狂怒穿刺,piercing_fury
星形紫苋石,star_amarast
启明物悬浮驱动,venerdo_hoverdrive
轨上燃焰,trail_blazer
扫描物质,scan_matter
动能摩擦,kinetic_friction
扫描水生生命体,scan_lifeforms
乘空时间,air_time
护轨器,rail_guards
突击模式,assault_mode
磁吸固锁,mag_locks
惯性减震,inertia_dampeners
瓦斯托双枪 prime 一套,akvasto_prime_set
永恒苦痛,perpetual_agony
灵活装甲,armored_agility
杀伤计数,body_count
赋能·偏折,arcane_deflection
创口溃烂,weeping_wounds
